,Fall,Spring,Summer
Year 1,Grammars and LexiconsAlgorithms for NLPDirected Study,Search Engines or Machine Learning for Text MiningMachine TranslationSelf-Paced LabDirected Study,Required Research
Year 2,Software Engineering for LT (I)Speech UnderstandingSelf-Paced LabDirected Study,Software Engineering for LT (II)Directed StudyElective,Required Research
