Course ID,Subject Title,Units,Days,Begin,End,Location,Instructor(s),Department Name,Bldg,Room,Section
70106,TBA,9.0,Monday Wednesday,02:30PM,03:45PM,"Doha, Qatar",Castano Zuluaga,Business Administration,CMB,2152,W
70110,Business Computing,9.0,Sunday Tuesday,02:30PM,03:45PM,"Doha, Qatar",Fadlallah,Business Administration,CMB,2163,W
70122,Introduction to Accounting,9.0,Monday Wednesday,11:00AM,11:50AM,"Pittsburgh, Pennsylvania",Liang,Business Administration,TEP,3801,Lec 1
70122,Introduction to Accounting,9.0,Monday Wednesday,10:00AM,10:50AM,"Pittsburgh, Pennsylvania",Liang,Business Administration,TEP,3801,Lec 2
70122,Introduction to Accounting,9.0,Monday Wednesday,03:00PM,03:50PM,"Pittsburgh, Pennsylvania",Bonaldi,Business Administration,TEP,3801,Lec 3
70122,Introduction to Accounting,9.0,Monday Wednesday,04:00PM,04:50PM,"Pittsburgh, Pennsylvania",Bonaldi,Business Administration,TEP,3801,Lec 4
70122,Introduction to Accounting,9.0,Friday,11:00AM,11:50AM,"Pittsburgh, Pennsylvania",Liang,Business Administration,TEP,3801,A
70122,Introduction to Accounting,9.0,Friday,11:00AM,11:50AM,"Pittsburgh, Pennsylvania",Liang,Business Administration,TEP,2611,B
70122,Introduction to Accounting,9.0,Friday,10:00AM,10:50AM,"Pittsburgh, Pennsylvania",Liang,Business Administration,TEP,3801,C
70122,Introduction to Accounting,9.0,Friday,10:00AM,10:50AM,"Pittsburgh, Pennsylvania",Liang,Business Administration,TEP,2611,D
70122,Introduction to Accounting,9.0,Friday,03:00PM,03:50PM,"Pittsburgh, Pennsylvania",Bonaldi,Business Administration,TEP,3801,E
70122,Introduction to Accounting,9.0,Friday,03:00PM,03:50PM,"Pittsburgh, Pennsylvania",Bonaldi,Business Administration,TEP,2611,F
70122,Introduction to Accounting,9.0,Friday,04:00PM,04:50PM,"Pittsburgh, Pennsylvania",Bonaldi,Business Administration,TEP,3801,G
70122,Introduction to Accounting,9.0,Friday,04:00PM,04:50PM,"Pittsburgh, Pennsylvania",Bonaldi,Business Administration,TEP,2611,H
70122,Introduction to Accounting,9.0,Monday Wednesday,11:30AM,12:45PM,"Doha, Qatar",Akguc,Business Administration,CMB,1064,W
70204,Business Leadership Endeavor II:,3.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
70204,Business Leadership Endeavor II,3.0,Tuesday,08:00AM,09:20AM,"Pittsburgh, Pennsylvania",Jafry O'Connor,Business Administration,TEP,3808,A1
70204,Business Leadership Endeavor II:,3.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
70204,Business Leadership Endeavor II,3.0,Tuesday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Jafry O'Connor,Business Administration,TEP,3808,B1
70204,Business Leadership Endeavor II,3.0,Tuesday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Jafry O'Connor,Business Administration,TEP,3808,C1
70207,Probability and Statistics for Business Applications:,9.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
70207,Probability and Statistics for Business Applications,9.0,Monday Wednesday,12:00PM,12:50PM,"Pittsburgh, Pennsylvania",Lessem,Business Administration,TEP,3801,NA
70207,Probability and Statistics for Business Applications:,9.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
70207,Probability and Statistics for Business Applications,9.0,Friday,12:00PM,12:50PM,"Pittsburgh, Pennsylvania",Lessem,Business Administration,TEP,2700,A
70207,Probability and Statistics for Business Applications:,9.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
70207,Probability and Statistics for Business Applications,9.0,Friday,12:00PM,12:50PM,"Pittsburgh, Pennsylvania",Lessem,Business Administration,TEP,2610,B
70208,Regression Analysis,9.0,Monday Wednesday,01:00PM,01:50PM,"Pittsburgh, Pennsylvania",Lessem,Business Administration,TEP,2610,NA
70208,Regression Analysis,9.0,Friday,01:00PM,01:50PM,"Pittsburgh, Pennsylvania",Lessem,Business Administration,TEP,2613,A
70208,Regression Analysis,9.0,Friday,01:00PM,01:50PM,"Pittsburgh, Pennsylvania",Lessem,Business Administration,TEP,2702,B
70208,Regression Analysis,9.0,Monday Wednesday,10:00AM,11:15AM,"Doha, Qatar",Park,Business Administration,CMB,1185,W
70246,Innovation & Entrepreneurial Mindset,6.0,Tuesday Thursday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Jen,Business Administration,TEP,2701,A2
70257,Optimization for Business,9.0,Monday Wednesday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Kilinc-Karzan,Business Administration,TEP,2700,Lec 1
70257,Optimization for Business,9.0,Monday Wednesday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Kilinc-Karzan,Business Administration,TEP,2700,Lec 2
70257,Optimization for Business,9.0,Friday,10:00AM,10:50AM,"Pittsburgh, Pennsylvania",Kilinc-Karzan,Business Administration,TEP,2612,A
70257,Optimization for Business,9.0,Friday,10:00AM,10:50AM,"Pittsburgh, Pennsylvania",Kilinc-Karzan,Business Administration,TEP,2701,B
70257,Optimization for Business,9.0,Friday,11:00AM,11:50AM,"Pittsburgh, Pennsylvania",Kilinc-Karzan,Business Administration,TEP,2612,C
70257,Optimization for Business,9.0,Friday,11:00AM,11:50AM,"Pittsburgh, Pennsylvania",Kilinc-Karzan,Business Administration,TEP,2701,D
70304,Business Leadership Endeavor III,3.0,Thursday,08:00AM,09:20AM,"Pittsburgh, Pennsylvania",Jafry O'Connor,Business Administration,TEP,3808,A2
70304,Business Leadership Endeavor III,3.0,Thursday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Jafry O'Connor,Business Administration,TEP,3808,B2
70304,Business Leadership Endeavor III,3.0,Thursday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Jafry O'Connor,Business Administration,TEP,3808,C2
70311,Organizational Behavior,9.0,Monday Wednesday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Rulke,Business Administration,TEP,2700,A
70311,Organizational Behavior,9.0,Monday Wednesday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Hahl,Business Administration,TEP,2700,B
70311,Organizational Behavior,9.0,Tuesday Thursday,08:00AM,09:20AM,"Pittsburgh, Pennsylvania",Rulke,Business Administration,TEP,2700,C
70311,Organizational Behavior,9.0,Monday Wednesday,11:30AM,12:45PM,"Doha, Qatar",Haan,Business Administration,CMB,1190,W
70321,Negotiation and Conflict Resolution,9.0,Tuesday Thursday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Rulke,Business Administration,TEP,2612,A
70332,"Business, Society and Ethics",9.0,Tuesday Thursday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Leben,Business Administration,TEP,2700,A
70332,"Business, Society and Ethics",9.0,Tuesday Thursday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Leben,Business Administration,TEP,2700,B
70332,"Business, Society and Ethics",9.0,Sunday Tuesday Thursday,11:30AM,12:20PM,"Doha, Qatar",Dimitriu,Business Administration,CMB,1031,W
70340,Business Communications,9.0,Monday Wednesday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Dejeu,Business Administration,TEP,2613,A
70340,Business Communications,9.0,Monday Wednesday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Dejeu,Business Administration,TEP,2613,B
70340,Business Communications,9.0,Monday Wednesday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Dejeu,Business Administration,TEP,2613,C
70340,Business Communications,9.0,Tuesday Thursday,08:00AM,09:20AM,"Pittsburgh, Pennsylvania",Richards,Business Administration,TEP,2613,D
70340,Business Communications,9.0,Tuesday Thursday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Richards,Business Administration,TEP,2613,E
70340,Business Communications,9.0,Tuesday Thursday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Dejeu,Business Administration,TEP,2613,F
70340,Business Communications,9.0,Sunday Tuesday,11:30AM,12:45PM,"Doha, Qatar",Mcginnis,Business Administration,CMB,1064,W
70340,Business Communications,9.0,Sunday Tuesday,02:30PM,03:45PM,"Doha, Qatar",Mcginnis,Business Administration,CMB,1064,X
70341,Team Dynamics and Leadership,9.0,Monday Wednesday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Tomprou,Business Administration,TEP,2701,A
70342,Managing Across Cultures:,9.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
70342,Managing Across Cultures,9.0,Monday Wednesday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Tomprou,Business Administration,TEP,2701,A
70342,Managing Across Cultures,9.0,Monday Wednesday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Tomprou,Business Administration,TEP,2701,B
70342,Managing Across Cultures,9.0,Monday Wednesday,08:30AM,09:45AM,"Doha, Qatar",Haan,Business Administration,CMB,2052,W
70345,Business Presentations,9.0,Tuesday Thursday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Rivera Lebron,Business Administration,TEP,2702,A
70345,Business Presentations,9.0,Tuesday Thursday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Rivera Lebron,Business Administration,TEP,2702,B
70345,Business Presentations,9.0,Monday Wednesday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Burke,Business Administration,TEP,2702,C
70345,Business Presentations,9.0,Tuesday Thursday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Depretis,Business Administration,TEP,2702,D
70345,Business Presentations,9.0,Monday Wednesday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Depretis,Business Administration,TEP,2702,E
70345,Business Presentations,9.0,Monday Wednesday,02:30PM,03:45PM,"Doha, Qatar",Mcginnis,Business Administration,CMB,1064,W
