,Fall,Spring,Summer
Year 1,Computational Data Science SeminarAdvanced Storage SystemsCloud ComputingDistributed SystemsMachine Learning,Computational Data Science SeminarParallel Computer Architecture and ProgrammingAdvanced DatabasesSearch Engines,Summer Internship
Year 2 Computational Data Science Systems Capstone,,,
Operating Systems or Web Applications,,,
